topic,unified_time_s,time_source,frame_id,format,data_length_bytes
/zed2i/zed_node/left/image_rect_color/compressed,1752754301.361158,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,157895
/zed2i/zed_node/left/image_rect_color/compressed,1752754301.4942338,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,156357
/zed2i/zed_node/right/image_rect_color/compressed,1752754301.4942338,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,163115
/zed2i/zed_node/left/image_rect_color/compressed,1752754301.561218,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,154556
/zed2i/zed_node/right/image_rect_color/compressed,1752754301.561218,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,162552
/zed2i/zed_node/left/image_rect_color/compressed,1752754301.6277678,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,152068
/zed2i/zed_node/right/image_rect_color/compressed,1752754301.6277678,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,161951
/zed2i/zed_node/left/image_rect_color/compressed,1752754301.694253,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,149767
/zed2i/zed_node/right/image_rect_color/compressed,1752754301.694253,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,161226
/zed2i/zed_node/left/image_rect_color/compressed,1752754301.761191,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,148328
/zed2i/zed_node/right/image_rect_color/compressed,1752754301.761191,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,160711
/zed2i/zed_node/left/image_rect_color/compressed,1752754301.827775,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,147567
/zed2i/zed_node/right/image_rect_color/compressed,1752754301.827775,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,160060
/zed2i/zed_node/left/image_rect_color/compressed,1752754301.894281,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,146877
/zed2i/zed_node/right/image_rect_color/compressed,1752754301.894281,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,159776
/zed2i/zed_node/left/image_rect_color/compressed,1752754301.96117,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,146443
/zed2i/zed_node/right/image_rect_color/compressed,1752754301.96117,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,159445
/zed2i/zed_node/left/image_rect_color/compressed,1752754302.027849,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,146425
/zed2i/zed_node/right/image_rect_color/compressed,1752754302.027849,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,159045
/zed2i/zed_node/left/image_rect_color/compressed,1752754302.0942988,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,147153
/zed2i/zed_node/right/image_rect_color/compressed,1752754302.0942988,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,159009
/zed2i/zed_node/left/image_rect_color/compressed,1752754302.161252,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,148500
/zed2i/zed_node/right/image_rect_color/compressed,1752754302.161252,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,158876
/zed2i/zed_node/left/image_rect_color/compressed,1752754302.227804,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,148488
/zed2i/zed_node/right/image_rect_color/compressed,1752754302.227804,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,158910
/zed2i/zed_node/left/image_rect_color/compressed,1752754302.294355,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,148790
/zed2i/zed_node/right/image_rect_color/compressed,1752754302.294355,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,158896
/zed2i/zed_node/left/image_rect_color/compressed,1752754302.3611588,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,149195
/zed2i/zed_node/right/image_rect_color/compressed,1752754302.3611588,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,159047
/zed2i/zed_node/left/image_rect_color/compressed,1752754302.4277718,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,149685
/zed2i/zed_node/right/image_rect_color/compressed,1752754302.4277718,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,159134
/zed2i/zed_node/left/image_rect_color/compressed,1752754302.49452,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,149918
/zed2i/zed_node/right/image_rect_color/compressed,1752754302.49452,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,158892
/zed2i/zed_node/left/image_rect_color/compressed,1752754302.5623238,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,149853
/zed2i/zed_node/right/image_rect_color/compressed,1752754302.5623238,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,158162
/zed2i/zed_node/left/image_rect_color/compressed,1752754302.627688,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,149675
/zed2i/zed_node/right/image_rect_color/compressed,1752754302.627688,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,158184
/zed2i/zed_node/left/image_rect_color/compressed,1752754302.694568,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,150981
/zed2i/zed_node/right/image_rect_color/compressed,1752754302.694568,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,158096
/zed2i/zed_node/left/image_rect_color/compressed,1752754302.761222,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,151653
/zed2i/zed_node/right/image_rect_color/compressed,1752754302.761222,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,158721
/zed2i/zed_node/left/image_rect_color/compressed,1752754302.82773,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,152399
/zed2i/zed_node/right/image_rect_color/compressed,1752754302.82773,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,159325
/zed2i/zed_node/left/image_rect_color/compressed,1752754302.894583,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,151323
/zed2i/zed_node/right/image_rect_color/compressed,1752754302.894583,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,160151
/zed2i/zed_node/left/image_rect_color/compressed,1752754302.9612908,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,153921
/zed2i/zed_node/right/image_rect_color/compressed,1752754302.9612908,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,164336
/zed2i/zed_node/left/image_rect_color/compressed,1752754303.027719,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,155234
/zed2i/zed_node/right/image_rect_color/compressed,1752754303.027719,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166392
/zed2i/zed_node/left/image_rect_color/compressed,1752754303.094626,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,158597
/zed2i/zed_node/right/image_rect_color/compressed,1752754303.094626,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166208
/zed2i/zed_node/left/image_rect_color/compressed,1752754303.1614008,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,164259
/zed2i/zed_node/right/image_rect_color/compressed,1752754303.1614008,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166213
/zed2i/zed_node/left/image_rect_color/compressed,1752754303.227736,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165562
/zed2i/zed_node/right/image_rect_color/compressed,1752754303.227736,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166467
/zed2i/zed_node/left/image_rect_color/compressed,1752754303.2946968,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165876
/zed2i/zed_node/right/image_rect_color/compressed,1752754303.2946968,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166423
/zed2i/zed_node/left/image_rect_color/compressed,1752754303.361225,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165503
/zed2i/zed_node/right/image_rect_color/compressed,1752754303.361225,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166051
/zed2i/zed_node/left/image_rect_color/compressed,1752754303.4277308,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165756
/zed2i/zed_node/right/image_rect_color/compressed,1752754303.4277308,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166460
/zed2i/zed_node/left/image_rect_color/compressed,1752754303.494572,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165825
/zed2i/zed_node/right/image_rect_color/compressed,1752754303.494572,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166380
/zed2i/zed_node/left/image_rect_color/compressed,1752754303.5613098,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165591
/zed2i/zed_node/right/image_rect_color/compressed,1752754303.5613098,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166444
/zed2i/zed_node/left/image_rect_color/compressed,1752754303.627821,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165835
/zed2i/zed_node/right/image_rect_color/compressed,1752754303.627821,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166369
/zed2i/zed_node/left/image_rect_color/compressed,1752754303.694666,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165665
/zed2i/zed_node/right/image_rect_color/compressed,1752754303.694666,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166568
