left_index,left_time_s,right_index,right_time_s,abs_time_diff_s
0,1752754301.361158,0,1752754301.4942338,0.13307595252990723
1,1752754301.4942338,0,1752754301.4942338,0.0
2,1752754301.561218,1,1752754301.561218,0.0
3,1752754301.6277678,2,1752754301.6277678,0.0
4,1752754301.694253,3,1752754301.694253,0.0
5,1752754301.761191,4,1752754301.761191,0.0
6,1752754301.827775,5,1752754301.827775,0.0
7,1752754301.894281,6,1752754301.894281,0.0
8,1752754301.96117,7,1752754301.96117,0.0
9,1752754302.027849,8,1752754302.027849,0.0
10,1752754302.0942988,9,1752754302.0942988,0.0
11,1752754302.161252,10,1752754302.161252,0.0
12,1752754302.227804,11,1752754302.227804,0.0
13,1752754302.294355,12,1752754302.294355,0.0
14,1752754302.3611588,13,1752754302.3611588,0.0
15,1752754302.4277718,14,1752754302.4277718,0.0
16,1752754302.49452,15,1752754302.49452,0.0
17,1752754302.5623238,16,1752754302.5623238,0.0
18,1752754302.627688,17,1752754302.627688,0.0
19,1752754302.694568,18,1752754302.694568,0.0
20,1752754302.761222,19,1752754302.761222,0.0
21,1752754302.82773,20,1752754302.82773,0.0
22,1752754302.894583,21,1752754302.894583,0.0
23,1752754302.9612908,22,1752754302.9612908,0.0
24,1752754303.027719,23,1752754303.027719,0.0
25,1752754303.094626,24,1752754303.094626,0.0
26,1752754303.1614008,25,1752754303.1614008,0.0
27,1752754303.227736,26,1752754303.227736,0.0
28,1752754303.2946968,27,1752754303.2946968,0.0
29,1752754303.361225,28,1752754303.361225,0.0
30,1752754303.4277308,29,1752754303.4277308,0.0
31,1752754303.494572,30,1752754303.494572,0.0
32,1752754303.5613098,31,1752754303.5613098,0.0
33,1752754303.627821,32,1752754303.627821,0.0
34,1752754303.694666,33,1752754303.694666,0.0
35,1752754303.7613308,34,1752754303.7613308,0.0
36,1752754303.82778,35,1752754303.82778,0.0
37,1752754303.894629,36,1752754303.894629,0.0
38,1752754303.961378,37,1752754303.961378,0.0
39,1752754304.0277638,38,1752754304.0277638,0.0
40,1752754304.094924,39,1752754304.094924,0.0
41,1752754304.161331,40,1752754304.161331,0.0
42,1752754304.227938,41,1752754304.227938,0.0
43,1752754304.294596,42,1752754304.294596,0.0
44,1752754304.361297,43,1752754304.361297,0.0
