topic,unified_time_s,time_source,frame_id,height,width,estimated_point_count,field_count,field_names,is_bigendian,point_step,row_step,is_dense,data_length_bytes
/off_highway_premium_radar_sample_driver/locations,1752754301.310747,header,base_link,1,375,375,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,30000,True,30000
/off_highway_premium_radar_sample_driver/locations,1752754301.377395,header,base_link,1,459,459,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,36720,True,36720
/off_highway_premium_radar_sample_driver/locations,1752754301.446672,header,base_link,1,348,348,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,27840,True,27840
/off_highway_premium_radar_sample_driver/locations,1752754301.507059,header,base_link,1,406,406,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,32480,True,32480
/off_highway_premium_radar_sample_driver/locations,1752754301.576836,header,base_link,1,372,372,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,29760,True,29760
/off_highway_premium_radar_sample_driver/locations,1752754301.637507,header,base_link,1,423,423,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,33840,True,33840
/off_highway_premium_radar_sample_driver/locations,1752754301.70678,header,base_link,1,357,357,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,28560,True,28560
/off_highway_premium_radar_sample_driver/locations,1752754301.777009,header,base_link,1,390,390,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,31200,True,31200
/off_highway_premium_radar_sample_driver/locations,1752754301.836961,header,base_link,1,390,390,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,31200,True,31200
/off_highway_premium_radar_sample_driver/locations,1752754301.907154,header,base_link,1,428,428,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,34240,True,34240
/off_highway_premium_radar_sample_driver/locations,1752754301.966949,header,base_link,1,340,340,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,27200,True,27200
/off_highway_premium_radar_sample_driver/locations,1752754302.036944,header,base_link,1,398,398,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,31840,True,31840
/off_highway_premium_radar_sample_driver/locations,1752754302.106588,header,base_link,1,330,330,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,26400,True,26400
/off_highway_premium_radar_sample_driver/locations,1752754302.167197,header,base_link,1,427,427,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,34160,True,34160
/off_highway_premium_radar_sample_driver/locations,1752754302.236979,header,base_link,1,360,360,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,28800,True,28800
