topic,type,message_count_read,expected_hz_from_bag_duration,first_timestamp_s,last_timestamp_s,topic_duration_s,mean_dt_s,median_dt_s,min_dt_s,max_dt_s,approx_true_hz,irregularity_ratio
/gnss,sensor_msgs/msg/NavSatFix,540,2.005,1771336712.206633,1771336970.675589,258.468956,0.479534,0.272807,0.221558,1.02973,2.085,3.775
/imu/data,sensor_msgs/msg/Imu,13600,50.493,1771336712.08915,1771336971.335963,259.246813,0.019064,0.000924,1.1e-05,0.739023,52.456,799.919
/off_highway_premium_radar_sample_driver/locations,sensor_msgs/msg/PointCloud2,2074,7.7,1771336712.088887,1771336971.35069,259.261803,0.125066,0.069393,0.000878,0.799765,7.996,11.525
/ouster/imu,sensor_msgs/msg/Imu,39312,145.956,1771336702.031702,1771336971.361625,269.329923,0.006851,8.5e-05,1e-05,13.317009,145.959,156458.221
/ouster/points,sensor_msgs/msg/PointCloud2,7961,29.557,1771336702.031689,1771336971.346033,269.314345,0.033833,0.008667,0.000312,13.399192,29.557,1546.045
/ouster/scan,sensor_msgs/msg/LaserScan,7029,26.097,1771336702.020276,1771336971.346123,269.325847,0.038322,0.001221,1.1e-05,13.423813,26.095,10991.421
/tf,tf2_msgs/msg/TFMessage,40036,148.644,1771336712.088845,1771336971.361335,259.27249,0.006476,0.00442,1e-05,0.723696,154.413,163.722
/tf_static,tf2_msgs/msg/TFMessage,2742,10.18,1771336702.02055,1771336971.325121,269.304572,0.09825,0.050031,2.5e-05,10.068228,10.178,201.24
/zed2i/zed_node/imu/data,sensor_msgs/msg/Imu,26432,98.136,1771336712.089464,1771336971.3614,259.271936,0.009809,0.00511,3e-05,0.724646,101.943,141.802
/zed2i/zed_node/left/image_rect_color/compressed,sensor_msgs/msg/CompressedImage,2035,7.555,1771336712.103601,1771336971.357521,259.25392,0.12746,0.067144,0.019482,0.799493,7.846,11.907
/zed2i/zed_node/right/image_rect_color/compressed,sensor_msgs/msg/CompressedImage,2028,7.529,1771336712.22558,1771336971.297599,259.072019,0.127811,0.06724,0.025969,0.80209,7.824,11.929
